Societe;Agence;Nom de la station;Proprietaire de la station;lon;lat;joindre des photos;Type de la station;Type de mobilier;Existence de bancs;Existence eclairage;Existence poubelle;Existence acces PMR;Type TNRP;Commune;Delegation;Gouvernorat;Code-Station
TRANSTU;District tunis 1;Bjewa 27  r- ;Dépôt el Bokri ;10.0098246;36.8436807;http://mdc.giscloud.com/rest/1/layers/3536205/features/1933/joindre_des_photos/mdc_photo_mdc_6e658b_1613986794473_1613986811812.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1933/joindre_des_photos/mdc_photo_mdc_abbf13_1613986807055_1613986811812.jpg?reqlogin;Arrêt bus;Abri;no;no;no;no;;Oued ellil ;Oued ellil ;Manouba ;
TRANSTU;District tunis 1;Lembarka a-;Dépôt el Bokri ;10.028878;36.8991221;http://mdc.giscloud.com/rest/1/layers/3536205/features/1908/joindre_des_photos/mdc_photo_mdc_51e3f0_1613981963438_1613981987558.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1908/joindre_des_photos/mdc_photo_mdc_ba6b6e_1613981972115_1613981987558.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1908/joindre_des_photos/mdc_photo_mdc_efc947_1613981980217_1613981987558.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Bil arbi a-;Dépôt el  Bokri ;9.7420861;36.7378255;http://mdc.giscloud.com/rest/1/layers/3536205/features/2273/joindre_des_photos/mdc_photo_mdc_1e6b72_1614332318228_1614332321458.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;El battan ;El battan ;Manouba ;
TRANSTU;District tunis 1;Lembarka r- ;Dépôt el Bokri ;10.0289738;36.8990092;http://mdc.giscloud.com/rest/1/layers/3536205/features/1909/joindre_des_photos/mdc_photo_mdc_b957cd_1613982073490_1613982099051.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1909/joindre_des_photos/mdc_photo_mdc_c13f12_1613982093491_1613982099051.jpg?reqlogin;Arrêt bus;Abri;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Rue benghazi  -r- ;Dépôt el Bokri ;10.108736;36.825223;http://mdc.giscloud.com/rest/1/layers/3536205/features/1816/joindre_des_photos/mdc_photo_mdc_92db3b_1613732365126_1613732447813.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1816/joindre_des_photos/mdc_photo_mdc_fb47fc_1613732383866_1613732447813.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1816/joindre_des_photos/mdc_photo_mdc_df151c_1613732396221_1613732447813.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Ettadhamen-Mnihla ;Ettadhamen ;Ariana ;
TRANSTU;District tunis 1;Bjewa 1  a-;Dépôt el Bokri ;10.0104335;36.8388787;http://mdc.giscloud.com/rest/1/layers/3536205/features/1934/joindre_des_photos/mdc_photo_mdc_286ef2_1613987000534_1613987019507.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1934/joindre_des_photos/mdc_photo_mdc_8ffad3_1613987012502_1613987019507.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Oued ellil ;Oued ellil ;Manouba ;
TRANSTU;District tunis 1;Bjewa 1 r-;Dépôt el Bokri ;10.010519;36.838874;http://mdc.giscloud.com/rest/1/layers/3536205/features/1935/joindre_des_photos/mdc_photo_mdc_6d318b_1613987069734_1613987094900.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1935/joindre_des_photos/mdc_photo_mdc_27b3e2_1613987088900_1613987094900.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Oued ellil ;Oued ellil ;Manouba ;
TRANSTU;District tunis 1;Monji slim 1 a-;Dépôt el Bokri ;10.0252656;36.9015348;http://mdc.giscloud.com/rest/1/layers/3536205/features/1910/joindre_des_photos/mdc_photo_mdc_dfdfcf_1613982300478_1613982326249.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1910/joindre_des_photos/mdc_photo_mdc_fac445_1613982308254_1613982326249.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1910/joindre_des_photos/mdc_photo_mdc_91adf2_1613982321896_1613982326249.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Bjewa 27   (1)  a-;Dépôt el Bokri ;10.0092887;36.8473161;http://mdc.giscloud.com/rest/1/layers/3536205/features/1936/joindre_des_photos/mdc_photo_mdc_76c807_1613987324936_1613987340520.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1936/joindre_des_photos/mdc_photo_mdc_9b58dc_1613987333941_1613987340520.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Oued ellil ;Oued ellil ;Manouba ;
TRANSTU;District tunis 1;Monji slim 1  r-;Dépôt el Bokri ;10.0252107;36.9013456;http://mdc.giscloud.com/rest/1/layers/3536205/features/1911/joindre_des_photos/mdc_photo_mdc_e71250_1613982367422_1613982436689.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1911/joindre_des_photos/mdc_photo_mdc_4956c4_1613982374938_1613982436689.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1911/joindre_des_photos/mdc_photo_mdc_8c8936_IMG_20210222_092500_1613982436689.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
