ع/ر  المندوبية;المندوبية الجهوية للتربية;المعتمدية;إسم المؤسّسة;نوع المؤسسة;العنوان
3;أريانة;أريانة;سمايلي سكول ;ابتدائي;4نهج بئر الرضوان النصر2
3;أريانة;المنيهلة;م.ابت.خ خزندار;ابتدائي;نهج جيزال حليمي عدد3 حي النّصر 2
4;منوبة;منوبة;م.إبت.خ ابن الجزار;ابتدائي;01 نهج ابن الجزار- منوبة
4;منوبة;منوبة;م.إبت.خ خزندار;ابتدائي;نهج البساتين الدندان
4;منوبة;منوبة;م.إبت.خ ابن رشد;ابتدائي;03 نهج القادسية منوبة 
4;منوبة;واد الليل;م.إبت.خ الرؤى;ابتدائي;شارع الحدائق وادي اللّيل
4;منوبة;منوبة;م.إبت.خ النبراس;ابتدائي;اقامة عزيز طريق الكلية منوبة
4;منوبة;منوبة;م.إبت.خ الرياحي;ابتدائي;30 شارع الحبيب بورقيبة
4;منوبة;منوبة;م.إبت.خ الفردوس منوبة;ابتدائي;12شارع البيئة منوبة
4;منوبة;واد الليل;م.إبت.خ المرايا;ابتدائي;طريق الشنوة 
4;منوبة;المرناقية;م.إبت.خ حمدي سكول;ابتدائي;حي الرياض المرناقية
4;منوبة;منوبة;م.إبت.خ ايفيرست;ابتدائي;63 شارع البرتقال منوبة
4;منوبة;المرناقية;م.إبت.خ ابن رشيق;ابتدائي; كلم 1 طريق 20 مارس قبالة مركز البريد شارع بورقيبة المرناقية
4;منوبة;الجديدة;م.إبت.خ الافق الجميل;ابتدائي;الطريق الوطنية عدد9 قبالة الملعب البلدي
4;منوبة;الجديدة;م.إبت.خ المعرفة;ابتدائي;طريق البطان 
4;منوبة;منوبة;م.إبت.خ شركة ابن رشد;ابتدائي;02 نهج بلجيكا منوبة
4;منوبة;منوبة;م.إبت.خ النخبة;ابتدائي;حي الامل الدندان
4;منوبة;المرناقية;م.إبت.خ أكاديمية التميز;ابتدائي;نهج البيئة 1110 المرناقية 
4;منوبة;واد الليل;م.إبت.خ لاجوكوند سكول;ابتدائي;90 شارع الاستقلال شباو 
4;منوبة;منوبة;م.إبت.خ بيرم التونسي;ابتدائي;01 نهج المنجي سليم الدندان
4;منوبة;الجديدة;م.إبت.خ الفرابي;ابتدائي;طريق البطان السواسي
4;منوبة;منوبة;م.إبت.خ صدربعل سكول;ابتدائي;شارع ابن أبي ضياف
4;منوبة;منوبة;م.إبت.خ أنّوس;ابتدائي;56 نهج قصر سعيد الدندان 
4;منوبة;الجديدة;م.إبت.خ الامتياز;ابتدائي;حي النجاة 2 الجديدة 
4;منوبة;منوبة;بيتاغور;ابتدائي;الطريق الوطنية عدد7 طريق ماطر بجانب مصنع الدواء
4;منوبة;منوبة;المدرسة الابتدائية الخاصة شكسبير;ابتدائي;نهج الاردن، حي البرتقال ، منوبة
5;بن عروس;مقرين;م.إبت.خ الفوز مقرين;ابتدائي;3 نهج علي باش حانبه  مقرين
5;بن عروس;رادس;م.إبت.خ منجيل سكول;ابتدائي;1 نهج الباكستان رادس
5;بن عروس;مقرين;م.إبت.خ الحمائم الثلاث مقرين;ابتدائي;الطريق الحزامية عبر طريق Z4
5;بن عروس;مقرين;م.إبت.خ أولادي;ابتدائي;5 شارع الجمهورية مقرين
5;بن عروس;الزهراء;م.إبت.خ سليمة;ابتدائي;الطّريق الوطنيّة رقم1 كم 12.7 حيّ الحبيب الزّهراء
5;بن عروس;حمام الشط;م.إبت.خ أكاديمية روسو;ابتدائي;18نهج موريتانيا  طاهر صفر 
5;بن عروس;المروج;م.إبت.خ لميس سكول;ابتدائي;نهج مكة المكرمة المروج 3 
5;بن عروس;المروج;م.إبت.خ البراعم;ابتدائي;04نهج لشبونة المروج4
5;بن عروس;الزهراء;م.إبت.خ رحاب التربية;ابتدائي;حي 18 جانفي الزهراء 
5;بن عروس;بومهل البساتين;م.إبت.خ الطالب;ابتدائي;2 نهج ايطاليا حي الأمان بومهل البساتين 2097
5;بن عروس;الزهراء;م.إبت.خ طريق المعرفة;ابتدائي;57 نهج النزهة حي الحبيب الزهراء
5;بن عروس;حمام الشط;م.إبت.خ ساكورا سكول;ابتدائي;03 نهح لبنان حمام الشط
5;بن عروس;المروج;م.إبت.خ لاجوكندة;ابتدائي;نهج ابن منظور المروج 1
5;بن عروس;المدينة الجديدة;م.إبت.خ زهرة المدائن;ابتدائي;نهج بنزرت عدد 3 المدينة الجديدة 3 بن عروس
5;بن عروس;حمام الأنف;م.إبت.خ HMC مونتيسوري للتربية و التكوين;ابتدائي;Rue de Gabes HAMMAM-LIF
5;بن عروس;فوشانة;م.إبت.خ فوشانة la fontaine school;ابتدائي;حي الهضاب فوشانة بن عروس
5;بن عروس;مقرين;م.إبت.خ le prévert;ابتدائي;29 نهج ابن خلدون - مقرين
5;بن عروس;المحمدية;م.إبت.خ الاحسان المحمدية;ابتدائي;شارع الحرية فوشانة
5;بن عروس;فوشانة;م.إبت.خ حبيبة سكول حي الهضاب فوشانة;ابتدائي;حي الهضاب  فوشانة
5;بن عروس;الزهراء;م.إبت.خ اقرا الزهراء;ابتدائي;تقسيم أ ف هاش بن عامر الوليجة الزهراء
5;بن عروس;بومهل البساتين;م.إبت.خ الذكية intelligent private school;ابتدائي;شارع بومهل البساتين قبالة معمل نظيف
5;بن عروس;رادس;م.إبت.خ ماكسولا سكول رادس;ابتدائي;8 ساحة الجمهورية رادس امام مقر البلدية 
5;بن عروس;رادس;م.إبت.خ تنوير رادس;ابتدائي;86 شارع فرحات حشاد رادس
5;بن عروس;مرناق;م.إبت.خ انس سكول مرناق;ابتدائي;حي المزيان 2
5;بن عروس;رادس;م.إبت.خ تنيجر كيدس رادس;ابتدائي;الوليجة طريق الزهراء رادس
5;بن عروس;بومهل البساتين;م.إبت.خ النخبة بومهل;ابتدائي;03 شط الجريد
5;بن عروس;المروج;م.إبت.خ جان جاك روسو المروج 6;ابتدائي;تقسيم المروج السادس عدد585
5;بن عروس;المدينة الجديدة;م.إبت.خ ALBBERT CAMUSالباركامي المدينة الجديدة 1;ابتدائي;30 نهج الفوز
5;بن عروس;رادس;م.إبت.خ اكسال سكول رادس مليان;ابتدائي;نهج تونس تقسبم الصباح 
5;بن عروس;رادس;م.إبت.خ رادس العماد رادس le pilier;ابتدائي;نهج رابغ طريق الزهراء رادس
5;بن عروس;المدينة الجديدة;م.إبت.خ النخبة المدينة الجديدة 1;ابتدائي;49 نهج عاصمة الجزائر المدينة الجديدة 3
5;بن عروس;حمام الأنف;م.إبت.خ النور;ابتدائي;7 نهج ليبيا حمام الانف 
5;بن عروس;المدينة الجديدة;م.إبت.خ عفيف سكول;ابتدائي;146 نهج احمد شوقي المدينة الجديدة3
